record_id,report_id,filer_cpf_id,filer_name,date,amount,vendor,clarified_name,purpose,clarified_purpose,record_type_description,source_link,vendor_ids,vendor_names,vendor_groups,vendor_eras,confidences
2008031,1042383,14831,"Boldyga, Nick",8/3/2026,21.25,OPENAI,,Cloud-based Workflow Service,,Credit Card Charge,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1042383,openai,OpenAI (ChatGPT),general_purpose,generative,high
1944976,1015738,14454,"Brownsberger, William N.",2/23/2026,5.31,ANTHROPIC SAN FRANCISCO CA G0A3LMSE,,POS Purchase,AI data analysis app,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1015738,anthropic,Anthropic (Claude),general_purpose,generative,high
1962776,1024388,14454,"Brownsberger, William N.",4/17/2026,53.13,ANTHROPIC SAN FRANCISCO CA G0A3LMSE,,POS Purchase,AI data analysis app,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1024388,anthropic,Anthropic (Claude),general_purpose,generative,high
1979147,1031918,14454,"Brownsberger, William N.",6/15/2026,47.81,ANTHROPIC SAN FRANCISCO CA G0A3LMSE,,POS Purchase,AI data analysis app,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1031918,anthropic,Anthropic (Claude),general_purpose,generative,high
1916068,1001876,14454,"Brownsberger, William N.",11/3/2025,37.19,DESCRIPT SAN FRANCISCO CA VZRGOSX2,Web Transcription Service,POS Purchase,Technology support,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1001876,descript,Descript,general_purpose,legacy,high
1924393,1005580,14454,"Brownsberger, William N.",12/2/2025,37.19,DESCRIPT SAN FRANCISCO CA VZRGOSX2,,POS Purchase,Technology Support,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1005580,descript,Descript,general_purpose,legacy,high
1937762,1012001,14454,"Brownsberger, William N.",1/2/2026,37.19,DESCRIPT SAN FRANCISCO CA VZRGOSX2,,POS Purchase,Technology support,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1012001,descript,Descript,general_purpose,legacy,high
1944966,1015738,14454,"Brownsberger, William N.",2/2/2026,37.19,DESCRIPT SAN FRANCISCO CA VZRGOSX2,,POS Purchase,Technology Support,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1015738,descript,Descript,general_purpose,legacy,high
1954945,1020316,14454,"Brownsberger, William N.",3/2/2026,37.19,DESCRIPT SAN FRANCISCO CA VZRGOSX2,Web Transcription service,POS Purchase,Technology Support,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1020316,descript,Descript,general_purpose,legacy,high
1962766,1024388,14454,"Brownsberger, William N.",4/2/2026,37.19,DESCRIPT SAN FRANCISCO CA VZRGOSX2,,POS Purchase,Transcription Service,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1024388,descript,Descript,general_purpose,legacy,high
1971733,1028568,14454,"Brownsberger, William N.",5/4/2026,37.19,DESCRIPT SAN FRANCISCO CA VZRGOSX2,,POS Purchase,Transcription Srives,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1028568,descript,Descript,general_purpose,legacy,high
1979137,1031918,14454,"Brownsberger, William N.",6/2/2026,37.19,DESCRIPT SAN FRANCISCO CA VZRGOSX2,,POS Purchase,Transcription services,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1031918,descript,Descript,general_purpose,legacy,high
1988783,1036465,14454,"Brownsberger, William N.",7/2/2026,37.19,DESCRIPT SAN FRANCISCO CA VZRGOSX2,,POS Purchase,Transcription Service,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1036465,descript,Descript,general_purpose,legacy,high
2007206,1042323,14454,"Brownsberger, William N.",8/3/2026,37.19,DESCRIPT SAN FRANCISCO CA VZRGOSX2,,POS Purchase,Transcription Services,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1042323,descript,Descript,general_purpose,legacy,high
1916072,1001876,14454,"Brownsberger, William N.",11/6/2025,212.5,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,ChatGPT subscription,POS Purchase,Technology,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1001876,openai,OpenAI (ChatGPT),general_purpose,generative,high
1924396,1005580,14454,"Brownsberger, William N.",12/8/2025,212.5,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,,POS Purchase,AI Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1005580,openai,OpenAI (ChatGPT),general_purpose,generative,high
1937765,1012001,14454,"Brownsberger, William N.",1/6/2026,212.5,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,,POS Purchase,AI Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1012001,openai,OpenAI (ChatGPT),general_purpose,generative,high
1944969,1015738,14454,"Brownsberger, William N.",2/6/2026,212.5,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,,POS Purchase,AI technology subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1015738,openai,OpenAI (ChatGPT),general_purpose,generative,high
1954951,1020316,14454,"Brownsberger, William N.",3/6/2026,212.5,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,,POS Purchase,AI subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1020316,openai,OpenAI (ChatGPT),general_purpose,generative,high
2004361,1041843,17814,"Cataldo, Simon",8/6/2026,21.25,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,,POS Purchase,Software subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1041843,openai,OpenAI (ChatGPT),general_purpose,generative,high
2008209,1042475,95538,Coalition for Healthy Democracy 2026,3/12/2026,14.5,Daisychain,,mms/sms messages,,General Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1042475,daisychain,Daisychain,political_specific,generative,high
1920446,1003635,95538,Coalition for Healthy Democracy 2026,7/2/2025,300.0,DonorAtlas,,Subscription - Research Tool,,General Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1003635,donoratlas,DonorAtlas,political_specific,generative,high
1920619,1003635,95538,Coalition for Healthy Democracy 2026,8/4/2025,300.0,DonorAtlas,,Subscription - Research Tool,,General Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1003635,donoratlas,DonorAtlas,political_specific,generative,high
1705156,898141,17681,"Creamer, Guillermo",9/19/2023,50.0,CAMPAIGNBRAIN.AI WEST BATH,Campaign Brain,POS PURCHASE ,Campaign services,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=898141,campaign_brain,Campaign Brain,political_specific,generative,high
1935999,1011246,17927,"Cruz, Manny",1/27/2026,21.25,OPENAI *CHATGPT SUBSCR SAN FRANCISCO /CA US CARD PURCHASE,,,Office tools,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1011246,openai,OpenAI (ChatGPT),general_purpose,generative,high
1942475,1014599,17927,"Cruz, Manny",2/10/2026,21.25,OPENAI *CHATGPT SUBSCR SAN FRANCISCO /CA US CARD PURCHASE,,,office tools,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1014599,openai,OpenAI (ChatGPT),general_purpose,generative,high
1949133,1018422,17927,"Cruz, Manny",3/10/2026,21.25,OPENAI *CHATGPT SUBSCR SAN FRANCISCO /CA US CARD PURCHASE,,,Office tools,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1018422,openai,OpenAI (ChatGPT),general_purpose,generative,high
1958955,1023056,17927,"Cruz, Manny",4/10/2026,21.25,OPENAI *CHATGPT SUBSCR SAN FRANCISCO /CA US CARD PURCHASE,,,office suppiles,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1023056,openai,OpenAI (ChatGPT),general_purpose,generative,high
1958968,1023056,17927,"Cruz, Manny",4/27/2026,96.46,OPENAI *CHATGPT SUBSCR SAN FRANCISCO /CA US CARD PURCHASE,,,Office Supplies ,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1023056,openai,OpenAI (ChatGPT),general_purpose,generative,high
1966697,1026798,17927,"Cruz, Manny",5/26/2026,106.25,OPENAI *CHATGPT SUBSCR SAN FRANCISCO /CA US CARD PURCHASE,,,Office Supplies + AI,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1026798,openai,OpenAI (ChatGPT),general_purpose,generative,high
1975063,1030581,17927,"Cruz, Manny",6/26/2026,106.25,OPENAI *CHATGPT SUBSCR SAN FRANCISCO /CA US CARD PURCHASE,,,Office Supplies + AI,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1030581,openai,OpenAI (ChatGPT),general_purpose,generative,high
1984587,1035060,17927,"Cruz, Manny",7/27/2026,21.25,OPENAI *CHATGPT SUBSCR SAN FRANCISCO /CA US CARD PURCHASE,,,,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1035060,openai,OpenAI (ChatGPT),general_purpose,generative,high
2001996,1041274,17927,"Cruz, Manny",8/27/2026,21.25,OPENAI *CHATGPT SUBSCR SAN FRANCISCO /CA US CARD PURCHASE,,,,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1041274,openai,OpenAI (ChatGPT),general_purpose,generative,high
1958966,1023056,17927,"Cruz, Manny",4/22/2026,42.5,OPENAI* CHATGPT CREDIT SAN FRANCISCO /CA US CARD PURCHASE,,,Office Supplies,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1023056,openai,OpenAI (ChatGPT),general_purpose,generative,high
1763767,928820,17927,"Cruz, Manny",5/17/2024,109.99,OTTER.AI MOUNTAIN VIEW /CA US CARD PURCHASE,,,Virtual assistant for campaign meeting,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=928820,otter_ai,Otter.ai,general_purpose,legacy,high
1857274,974815,17927,"Cruz, Manny",5/19/2025,106.24,OTTER.AI MOUNTAIN VIEW /CA US CARD PURCHASE,,,AI assistant for campaign notes and follows ups,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=974815,otter_ai,Otter.ai,general_purpose,legacy,high
1966691,1026798,17927,"Cruz, Manny",5/18/2026,106.24,OTTER.AI MOUNTAIN VIEW /CA US CARD PURCHASE,,,Annual AI notetaker,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1026798,otter_ai,Otter.ai,general_purpose,legacy,high
1752498,922373,16300,"Cyr, Julian Andre",3/8/2024,114.75,GRAMMARLY CO*ALR0YDW SAN FRANCISCO,,POS Purchase,Digital writing software subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=922373,grammarly,Grammarly,general_purpose,legacy,high
1955004,1020323,16300,"Cyr, Julian Andre",3/9/2026,153.0,GRAMMARLY CO*DENBQTZ SAN FRANCISCO CA,,POS Purchase,software subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1020323,grammarly,Grammarly,general_purpose,legacy,high
1846500,969045,16300,"Cyr, Julian Andre",3/10/2025,153.0,GRAMMARLY CO*DGQA1BS SAN FRANCISCO CA,,POS Purchase,Digital writing software subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=969045,grammarly,Grammarly,general_purpose,legacy,high
1865863,978766,18740,"Davis, Leigh",6/6/2025,20.0,Chat GPT,,,Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=978766,openai,OpenAI (ChatGPT),general_purpose,generative,high
1969715,1027899,18740,"Davis, Leigh",5/6/2026,21.25,ChatGPT Open AI,,,monthly office office software subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1027899,openai,OpenAI (ChatGPT),general_purpose,generative,high
1937891,1012050,18740,"Davis, Leigh",1/14/2026,139.95,Grammarly Co,,,annual grammar subscription software,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1012050,grammarly,Grammarly,general_purpose,legacy,high
1832216,961911,18740,"Davis, Leigh",1/13/2025,139.95,Grammarly Co BCO,,,subscription to writing assistant,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=961911,grammarly,Grammarly,general_purpose,legacy,high
1945277,1015830,18740,"Davis, Leigh",2/6/2026,21.25,OPEN AI  ChatGPT,,,Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1015830,openai,OpenAI (ChatGPT),general_purpose,generative,high
1873085,982767,18740,"Davis, Leigh",7/7/2025,20.0,Open AI - Chat GPT,,,subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=982767,openai,OpenAI (ChatGPT),general_purpose,generative,high
1832210,961911,18740,"Davis, Leigh",1/6/2025,20.0,Open AI Chat GPT,,,subscription for research tool,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=961911,openai,OpenAI (ChatGPT),general_purpose,generative,high
1836570,964356,18740,"Davis, Leigh",2/6/2025,20.0,Open AI Chat GPT,,,subscription for research tool,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=964356,openai,OpenAI (ChatGPT),general_purpose,generative,high
1844862,968597,18740,"Davis, Leigh",3/6/2025,20.0,Open AI Chat GPT,,,subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=968597,openai,OpenAI (ChatGPT),general_purpose,generative,high
1850255,971401,18740,"Davis, Leigh",4/7/2025,20.0,Open AI Chat GPT,,,Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=971401,openai,OpenAI (ChatGPT),general_purpose,generative,high
1881994,987176,18740,"Davis, Leigh",8/6/2025,20.0,Open AI Chat GPT,,,Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=987176,openai,OpenAI (ChatGPT),general_purpose,generative,high
1892438,991955,18740,"Davis, Leigh",9/6/2025,21.25,Open AI Chat GPT,,,Monthly charge for office software ,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=991955,openai,OpenAI (ChatGPT),general_purpose,generative,high
1910206,998583,18740,"Davis, Leigh",10/6/2025,21.25,Open AI Chat GPT,,,Software subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=998583,openai,OpenAI (ChatGPT),general_purpose,generative,high
1921958,1004776,18740,"Davis, Leigh",12/6/2025,21.25,OPEN AI Chat GPT,,,software subscription for office,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1004776,openai,OpenAI (ChatGPT),general_purpose,generative,high
1950033,1018816,18740,"Davis, Leigh",3/6/2026,21.25,Open AI Chat GPT,,,Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1018816,openai,OpenAI (ChatGPT),general_purpose,generative,high
1959904,1023457,18740,"Davis, Leigh",4/6/2026,21.25,Open AI Chat GPT,,,Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1023457,openai,OpenAI (ChatGPT),general_purpose,generative,high
1976138,1031001,18740,"Davis, Leigh",6/6/2026,21.25,Open AI Chat GPT,,,monthly office subscription ,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1031001,openai,OpenAI (ChatGPT),general_purpose,generative,high
1991364,1037055,18740,"Davis, Leigh",7/6/2026,21.25,Open AI Chat GPT,,,monthly office subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1037055,openai,OpenAI (ChatGPT),general_purpose,generative,high
1998646,1040470,18740,"Davis, Leigh",8/6/2026,21.25,Open AI ChatGPT,,,Subscription for software ,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1040470,openai,OpenAI (ChatGPT),general_purpose,generative,high
1857544,974995,18740,"Davis, Leigh",5/6/2025,20.0,OpenAI Chat GPT,,,Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=974995,openai,OpenAI (ChatGPT),general_purpose,generative,high
1913175,1000757,18740,"Davis, Leigh",11/6/2025,21.25,OPENAI Chat GPT,,,Software subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1000757,openai,OpenAI (ChatGPT),general_purpose,generative,high
1937888,1012050,18740,"Davis, Leigh",1/6/2026,21.25,OPENAI ChatGPT,,,Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1012050,openai,OpenAI (ChatGPT),general_purpose,generative,high
1834817,962880,13736,"Decker, Marjorie C.",1/16/2025,153.0,0115 GRAMMARLY CO*DK9DOQC                        GRAMMARLY.COMCA 24116415015714417967106 RECURRING,,PURCHASE   ,Annual campaign subscription fee,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=962880,grammarly,Grammarly,general_purpose,legacy,high
1743184,916971,13736,"Decker, Marjorie C.",1/16/2024,153.0,0115 GRAMMARLY COA6EQ2TH,,PURCHASE  GRAMMARLY.COMCA 941 ,Campaign Office software,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=916971,grammarly,Grammarly,general_purpose,legacy,high
1940303,1012987,13736,"Decker, Marjorie C.",1/16/2026,153.0,GRAMMARLY CO*U15QSJM                        GRAMMARLY.COMCA 24116416015742693460718 RECURRING,,PURCHASE   01/15 ,Online subscription fee,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1012987,grammarly,Grammarly,general_purpose,legacy,high
1646902,870530,13736,"Decker, Marjorie C.",1/17/2023,153.0,GRAMMARLY CONA1EEXI                         GRAMMARLY.COMCA 832 RECURRING,,CHECKCARD,Editing Software Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=870530,grammarly,Grammarly,general_purpose,legacy,high
1653254,874874,17784,"Dibble, Stephen",3/18/2023,517.5,DEBIT WITHDRAWAL CAMPAIGN NUCLEUS,,,Purchase voter list,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=874874,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1653262,874874,17784,"Dibble, Stephen",3/31/2023,51.75,DEBIT WITHDRAWAL CAMPAIGN NUCLEUS,,,Emailing costs,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=874874,campaign_nucleus,Campaign Nucleus,political_specific,legacy,high
1942744,1014731,15011,"Durant, Peter J.",2/18/2026,106.25,OPENAI,,ATM POS DEBIT,Data Services,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1014731,openai,OpenAI (ChatGPT),general_purpose,generative,high
1987619,1036171,18345,"Durkan, Sharon",7/28/2026,14.99,GOOGLE *CANVA AI PHOTO 650-253-0000 CA,Canva,POS Purchase,Design Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1036171,canva_ai,Canva (Magic Studio / AI Photo),general_purpose,legacy,high
1938917,1012456,18345,"Durkan, Sharon",1/27/2026,14.99,GOOGLE *Canva AI Photo MOUNTAIN VIEW CA,Canva,POS Purchase,Subscription Service,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1012456,canva_ai,Canva (Magic Studio / AI Photo),general_purpose,legacy,high
1945143,1015761,18345,"Durkan, Sharon",2/27/2026,14.99,GOOGLE *Canva AI Photo MOUNTAIN VIEW CA,Canva,POS Purchase,Subscription Service,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1015761,canva_ai,Canva (Magic Studio / AI Photo),general_purpose,legacy,high
1953994,1019990,18345,"Durkan, Sharon",3/27/2026,14.99,GOOGLE *Canva AI Photo MOUNTAIN VIEW CA,Canva,POS Purchase,Design Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1019990,canva_ai,Canva (Magic Studio / AI Photo),general_purpose,legacy,high
1960359,1023617,18345,"Durkan, Sharon",4/27/2026,14.99,GOOGLE *Canva AI Photo MOUNTAIN VIEW CA,Canva,POS Purchase,Design Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1023617,canva_ai,Canva (Magic Studio / AI Photo),general_purpose,legacy,high
1970729,1028138,18345,"Durkan, Sharon",5/27/2026,14.99,GOOGLE *Canva AI Photo MOUNTAIN VIEW CA,Google,POS Purchase,Subscription Service ,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1028138,canva_ai,Canva (Magic Studio / AI Photo),general_purpose,legacy,high
1979270,1031926,18345,"Durkan, Sharon",6/29/2026,14.99,GOOGLE *Canva AI Photo MOUNTAIN VIEW CA,Canva,POS Purchase,Design Subscription,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1031926,canva_ai,Canva (Magic Studio / AI Photo),general_purpose,legacy,high
2003634,1041546,18345,"Durkan, Sharon",8/27/2026,14.99,GOOGLE *Canva AI Photo MOUNTAIN VIEW CA,,POS Purchase,,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1041546,canva_ai,Canva (Magic Studio / AI Photo),general_purpose,legacy,high
1923530,1005293,18345,"Durkan, Sharon",12/29/2025,14.99,GOOGLE*CANVA AI PHOTO G.CO/HELPPAY# CA,Canva,POS Purchase,Subscription Fee,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1005293,canva_ai,Canva (Magic Studio / AI Photo),general_purpose,legacy,high
2002860,1041442,76148,Duxbury REPTC,1/21/2026,127.05,Len Marinaccio,,Chatgpt,,General Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1041442,openai,OpenAI (ChatGPT),general_purpose,generative,high
1923983,1005463,15129,"Edwards, Melvin A.",12/10/2025,21.25,OPENAI *CHATGPT SUBSCROPENAI.COM,,,internet service,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1005463,openai,OpenAI (ChatGPT),general_purpose,generative,high
1939813,1012785,15129,"Edwards, Melvin A.",1/12/2026,21.25,OPENAI *CHATGPT SUBSCROPENAI.COM,,,research cost,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1012785,openai,OpenAI (ChatGPT),general_purpose,generative,high
1946170,1016113,15129,"Edwards, Melvin A.",2/10/2026,21.25,OPENAI *CHATGPT SUBSCROPENAI.COM,,,Use of AI for info gathering.,Bank Reported Expenditure,https://www.ocpf.us/Reports/DisplayReport?menuHidden=true&id=1016113,openai,OpenAI (ChatGPT),general_purpose,generative,high
